Account,total_trades,avg_pnl,pnl_std,win_rate,avg_trade_size_usd,avg_fee,avg_sentiment_score,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,419.1277684596647,4692.452328769463,35.961236249345205,16159.57673389209,1.9395789167103195,53.75405971712939,3
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,6.5776539167582415,134.07347277629353,44.27197802197802,1653.2263269230768,0.37497773194093403,52.21346153846154,2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,9.951529904139434,113.26935264594304,43.85846292540004,507.6269326121253,0.16665670246043873,68.77432198933214,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,52.0710111126891,255.82909123366827,51.99135535659154,3138.894782340228,0.9596161537511578,61.6674899660389,2
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-38.28662574969325,558.7787526232372,45.52147239263803,1729.9411042944785,0.18045983236809818,43.79754601226994,2
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,4.0281190682641395,730.495483644371,32.76678740596267,4790.5754862078575,0.40642438731401503,30.92616327667874,2
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,161.13327482831323,1279.8557881354639,47.59036144578313,3445.471265060241,0.5309463130030121,65.8855421686747,2
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,520.9023308929503,2228.336140282739,23.49869451697128,5189.367127937337,0.6996529738355091,53.39425587467363,3
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,336.735547567502,1649.4975803457908,48.42360549717058,2397.824753435732,0.6038859587712208,53.89894907033145,3
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,12.130967972884141,88.29284150392282,35.34452400516492,517.5289235825802,0.14448251217066557,65.95480690221856,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,40.740489150316456,656.6936282172401,36.03639240506329,17098.171054852322,5.36978736853903,60.472573839662445,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,68.68441935403726,639.4024436908079,40.119320039228505,34396.58028440667,6.245884512233573,45.983491337038245,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,111.51919668923077,468.9959817825797,43.17948717948718,746.7256512820513,0.19162674557169232,50.012307692307694,2
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,253.1878581664326,1494.128004157728,30.337078651685395,2080.390077247191,0.19768177258426964,50.03300561797753,3
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,38.3195599627009,172.52077341762578,81.08763772364298,2600.7780491256444,0.26233287594056404,62.944910542808046,2
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,9.557692781911483,72.5611952371814,45.22129570237332,3748.8675112251444,0.5004598479538165,27.763951250801796,2
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-36.43145507085416,1647.7789842055993,38.274288198217775,2204.6855314062163,0.3432700395392306,50.056726798522064,2
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,34.2823955552067,325.75560971336085,33.01936159079016,6279.002286760858,1.7712622807849294,53.02564102564103,2
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,2.928191023869849,68.6130409480178,26.19682624349913,820.4285131350847,0.25286992235431394,64.20642752366982,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,6.81210350887536,68.2349036218229,34.57866068567767,1273.1950003204101,0.14661681724474207,59.14745273950657,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,174.6918088057554,976.068751360001,57.31414868105516,2066.6892086330936,0.4554868213669065,70.9832134292566,2
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,120.50731710657195,474.8098365007934,40.852575488454704,2979.4417761989343,0.9746523350088809,56.51687388987567,2
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,40.746875941947565,288.26612386189584,32.20973782771536,8330.193370786517,1.0145048866037452,35.09925093632959,2
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,145.48174829898866,1374.0264020518678,33.713432430597976,3837.885375008484,1.0856796478531188,54.610941424014115,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,4.648305254443986,332.0834053908585,43.861099627945435,22504.555828854896,5.920457568210004,28.20008267879289,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,44.364090516232544,567.7627628499143,46.75821064552662,3210.472831257078,0.40565806276986605,32.08012457531144,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,30976,25.473745307786675,299.2005898170456,44.79597107438016,1941.3002285640496,0.324063996140113,50.703738378099175,1
